year,national_avg_yuan_per_mwh,coal_benchmark_yuan_per_mwh,nuclear_yuan_per_mwh,thermal_wholesale_yuan_per_mwh,hydro_yuan_per_mwh,solar_yuan_per_mwh,wind_yuan_per_mwh,gas_ccgt_yuan_per_mwh,biomass_yuan_per_mwh,pv_fit_yuan_per_mwh
2010,384.56,610.82,432.2,394.77,291.2,,,,,
2011,,,,,,,,,,
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,398.66,400.88,437.66,,297.77,1016.34,597.66,750.78,733.34,
2015,388.25,384.2,434.03,,286.93,1056.89,594.01,789.82,732.83,
2016,370.97,362.08,420.89,,265.81,,566.98,695.17,736.82,918.12
2017,376.28,371.65,402.95,,258.93,,562.3,664.94,765.36,939.9
2018,373.87,370.52,395.02,,267.19,,529.01,584.1,677.99,859.79
2019,,,,,,,,,,
2020,,,,,,,,,,
2021,,,,,,,,,,
2022,,449.0,,,,,,,,
2023,,,,,,,,,,
2024,,,,,,,,,,
2025,,,,,,,,,,
